case,policy,chunk,requested_threads,used_threads,total_iterations,min_thread_iterations,max_thread_iterations,avg_thread_iterations,load_balance_factor
seahorse_valley,static,1,16,16,1247720130,77861122,78119947,77982508.125,1.001762432
seahorse_valley,static,4,16,16,1247720130,77422319,78377107,77982508.125,1.005060095
seahorse_valley,static,16,16,16,1247720130,75730532,80674303,77982508.125,1.034517932
seahorse_valley,static,64,16,16,1247720130,63705764,98063943,77982508.125,1.257512042
seahorse_valley,dynamic,1,16,16,1247720130,74091997,79464062,77982508.125,1.018998541
seahorse_valley,dynamic,4,16,16,1247720130,75097216,79701125,77982508.125,1.022038492
seahorse_valley,dynamic,16,16,16,1247720130,70292268,83336911,77982508.125,1.068661588
seahorse_valley,dynamic,64,16,16,1247720130,64799273,98547203,77982508.125,1.263709072
seahorse_valley,guided,1,16,16,1247720130,74152173,95778118,77982508.125,1.228200020
seahorse_valley,guided,4,16,16,1247720130,75371337,95778118,77982508.125,1.228200020
seahorse_valley,guided,16,16,16,1247720130,73341047,95778118,77982508.125,1.228200020
seahorse_valley,guided,64,16,16,1247720130,65763976,95778118,77982508.125,1.228200020
