case,policy,chunk,threads,different_pixels,max_abs_difference,allowed_different_pixels,allowed_max_abs_difference,status
standard,static,0,1,0,0,1677,1,APPROVED_EXACT
standard,static,0,2,0,0,1677,1,APPROVED_EXACT
standard,static,0,4,0,0,1677,1,APPROVED_EXACT
standard,static,0,8,0,0,1677,1,APPROVED_EXACT
standard,static,0,16,0,0,1677,1,APPROVED_EXACT
standard,static,1,16,0,0,1677,1,APPROVED_EXACT
seahorse_valley,static,1,16,0,0,1677,1,APPROVED_EXACT
standard,static,4,16,0,0,1677,1,APPROVED_EXACT
seahorse_valley,static,4,16,0,0,1677,1,APPROVED_EXACT
standard,static,16,16,0,0,1677,1,APPROVED_EXACT
seahorse_valley,static,16,16,0,0,1677,1,APPROVED_EXACT
standard,static,64,16,0,0,1677,1,APPROVED_EXACT
seahorse_valley,static,64,16,0,0,1677,1,APPROVED_EXACT
standard,dynamic,1,16,0,0,1677,1,APPROVED_EXACT
seahorse_valley,dynamic,1,16,0,0,1677,1,APPROVED_EXACT
standard,dynamic,4,16,0,0,1677,1,APPROVED_EXACT
seahorse_valley,dynamic,4,16,0,0,1677,1,APPROVED_EXACT
standard,dynamic,16,16,0,0,1677,1,APPROVED_EXACT
seahorse_valley,dynamic,16,16,0,0,1677,1,APPROVED_EXACT
standard,dynamic,64,16,0,0,1677,1,APPROVED_EXACT
seahorse_valley,dynamic,64,16,0,0,1677,1,APPROVED_EXACT
standard,guided,1,16,0,0,1677,1,APPROVED_EXACT
seahorse_valley,guided,1,16,0,0,1677,1,APPROVED_EXACT
standard,guided,4,16,0,0,1677,1,APPROVED_EXACT
seahorse_valley,guided,4,16,0,0,1677,1,APPROVED_EXACT
standard,guided,16,16,0,0,1677,1,APPROVED_EXACT
seahorse_valley,guided,16,16,0,0,1677,1,APPROVED_EXACT
standard,guided,64,16,0,0,1677,1,APPROVED_EXACT
seahorse_valley,guided,64,16,0,0,1677,1,APPROVED_EXACT
