case,suite,policy,chunk,requested_threads,used_threads,width,height,pixels,rep,seconds
standard,serial_baseline,serial,0,1,1,4096,4096,16777216,1,13.714214500
standard,serial_baseline,serial,0,1,1,4096,4096,16777216,2,11.417724800
standard,serial_baseline,serial,0,1,1,4096,4096,16777216,3,11.903291800
seahorse_valley,serial_baseline,serial,0,1,1,4096,4096,16777216,1,5.711712400
seahorse_valley,serial_baseline,serial,0,1,1,4096,4096,16777216,2,4.252786200
seahorse_valley,serial_baseline,serial,0,1,1,4096,4096,16777216,3,3.468174100
standard,strong_scaling,static,0,1,1,4096,4096,16777216,1,7.858993500
standard,strong_scaling,static,0,1,1,4096,4096,16777216,2,8.827480800
standard,strong_scaling,static,0,1,1,4096,4096,16777216,3,12.427219800
standard,strong_scaling,static,0,2,2,4096,4096,16777216,1,4.795193000
standard,strong_scaling,static,0,2,2,4096,4096,16777216,2,3.883582600
standard,strong_scaling,static,0,2,2,4096,4096,16777216,3,3.905080000
standard,strong_scaling,static,0,4,4,4096,4096,16777216,1,3.809418700
standard,strong_scaling,static,0,4,4,4096,4096,16777216,2,3.792586600
standard,strong_scaling,static,0,4,4,4096,4096,16777216,3,3.790341400
standard,strong_scaling,static,0,8,8,4096,4096,16777216,1,2.815655500
standard,strong_scaling,static,0,8,8,4096,4096,16777216,2,2.798289800
standard,strong_scaling,static,0,8,8,4096,4096,16777216,3,2.785233500
standard,strong_scaling,static,0,16,16,4096,4096,16777216,1,1.825739700
standard,strong_scaling,static,0,16,16,4096,4096,16777216,2,1.830813600
standard,strong_scaling,static,0,16,16,4096,4096,16777216,3,1.805702900
standard,schedule_comparison,static,1,16,16,4096,4096,16777216,1,1.002363600
standard,schedule_comparison,static,1,16,16,4096,4096,16777216,2,1.005024700
standard,schedule_comparison,static,1,16,16,4096,4096,16777216,3,1.005373400
standard,schedule_comparison,static,4,16,16,4096,4096,16777216,1,0.946215400
standard,schedule_comparison,static,4,16,16,4096,4096,16777216,2,0.919562100
standard,schedule_comparison,static,4,16,16,4096,4096,16777216,3,0.945789900
standard,schedule_comparison,static,16,16,16,4096,4096,16777216,1,0.975156800
standard,schedule_comparison,static,16,16,16,4096,4096,16777216,2,1.000725800
standard,schedule_comparison,static,16,16,16,4096,4096,16777216,3,1.021962200
standard,schedule_comparison,static,64,16,16,4096,4096,16777216,1,1.038813000
standard,schedule_comparison,static,64,16,16,4096,4096,16777216,2,0.982924400
standard,schedule_comparison,static,64,16,16,4096,4096,16777216,3,1.033266100
standard,schedule_comparison,dynamic,1,16,16,4096,4096,16777216,1,0.872252200
standard,schedule_comparison,dynamic,1,16,16,4096,4096,16777216,2,0.859471900
standard,schedule_comparison,dynamic,1,16,16,4096,4096,16777216,3,0.855226600
standard,schedule_comparison,dynamic,4,16,16,4096,4096,16777216,1,0.861299500
standard,schedule_comparison,dynamic,4,16,16,4096,4096,16777216,2,0.840961900
standard,schedule_comparison,dynamic,4,16,16,4096,4096,16777216,3,0.864261500
standard,schedule_comparison,dynamic,16,16,16,4096,4096,16777216,1,0.869479900
standard,schedule_comparison,dynamic,16,16,16,4096,4096,16777216,2,0.859928800
standard,schedule_comparison,dynamic,16,16,16,4096,4096,16777216,3,0.854012200
standard,schedule_comparison,dynamic,64,16,16,4096,4096,16777216,1,0.975644900
standard,schedule_comparison,dynamic,64,16,16,4096,4096,16777216,2,0.956903300
standard,schedule_comparison,dynamic,64,16,16,4096,4096,16777216,3,0.975918500
standard,schedule_comparison,guided,1,16,16,4096,4096,16777216,1,1.157954300
standard,schedule_comparison,guided,1,16,16,4096,4096,16777216,2,1.180019900
standard,schedule_comparison,guided,1,16,16,4096,4096,16777216,3,1.203807300
standard,schedule_comparison,guided,4,16,16,4096,4096,16777216,1,1.210096400
standard,schedule_comparison,guided,4,16,16,4096,4096,16777216,2,1.249127700
standard,schedule_comparison,guided,4,16,16,4096,4096,16777216,3,1.260884300
standard,schedule_comparison,guided,16,16,16,4096,4096,16777216,1,1.276918400
standard,schedule_comparison,guided,16,16,16,4096,4096,16777216,2,1.243077600
standard,schedule_comparison,guided,16,16,16,4096,4096,16777216,3,1.178703600
standard,schedule_comparison,guided,64,16,16,4096,4096,16777216,1,1.221911600
standard,schedule_comparison,guided,64,16,16,4096,4096,16777216,2,1.332828000
standard,schedule_comparison,guided,64,16,16,4096,4096,16777216,3,1.211111600
seahorse_valley,schedule_comparison,static,1,16,16,4096,4096,16777216,1,0.430207900
seahorse_valley,schedule_comparison,static,1,16,16,4096,4096,16777216,2,0.422796000
seahorse_valley,schedule_comparison,static,1,16,16,4096,4096,16777216,3,0.408099700
seahorse_valley,schedule_comparison,static,4,16,16,4096,4096,16777216,1,0.416165600
seahorse_valley,schedule_comparison,static,4,16,16,4096,4096,16777216,2,0.410251300
seahorse_valley,schedule_comparison,static,4,16,16,4096,4096,16777216,3,0.416048700
seahorse_valley,schedule_comparison,static,16,16,16,4096,4096,16777216,1,0.420586400
seahorse_valley,schedule_comparison,static,16,16,16,4096,4096,16777216,2,0.429658600
seahorse_valley,schedule_comparison,static,16,16,16,4096,4096,16777216,3,0.416368900
seahorse_valley,schedule_comparison,static,64,16,16,4096,4096,16777216,1,0.499636400
seahorse_valley,schedule_comparison,static,64,16,16,4096,4096,16777216,2,0.473548200
seahorse_valley,schedule_comparison,static,64,16,16,4096,4096,16777216,3,0.464490400
seahorse_valley,schedule_comparison,dynamic,1,16,16,4096,4096,16777216,1,0.363314300
seahorse_valley,schedule_comparison,dynamic,1,16,16,4096,4096,16777216,2,0.380463300
seahorse_valley,schedule_comparison,dynamic,1,16,16,4096,4096,16777216,3,0.382464800
seahorse_valley,schedule_comparison,dynamic,4,16,16,4096,4096,16777216,1,0.385510900
seahorse_valley,schedule_comparison,dynamic,4,16,16,4096,4096,16777216,2,0.369194300
seahorse_valley,schedule_comparison,dynamic,4,16,16,4096,4096,16777216,3,0.376767800
seahorse_valley,schedule_comparison,dynamic,16,16,16,4096,4096,16777216,1,0.398366300
seahorse_valley,schedule_comparison,dynamic,16,16,16,4096,4096,16777216,2,0.395044700
seahorse_valley,schedule_comparison,dynamic,16,16,16,4096,4096,16777216,3,0.393539700
seahorse_valley,schedule_comparison,dynamic,64,16,16,4096,4096,16777216,1,0.455960100
seahorse_valley,schedule_comparison,dynamic,64,16,16,4096,4096,16777216,2,0.446465900
seahorse_valley,schedule_comparison,dynamic,64,16,16,4096,4096,16777216,3,0.459001000
seahorse_valley,schedule_comparison,guided,1,16,16,4096,4096,16777216,1,0.426761100
seahorse_valley,schedule_comparison,guided,1,16,16,4096,4096,16777216,2,0.423364200
seahorse_valley,schedule_comparison,guided,1,16,16,4096,4096,16777216,3,0.412290500
seahorse_valley,schedule_comparison,guided,4,16,16,4096,4096,16777216,1,0.405520200
seahorse_valley,schedule_comparison,guided,4,16,16,4096,4096,16777216,2,0.476149100
seahorse_valley,schedule_comparison,guided,4,16,16,4096,4096,16777216,3,0.416806100
seahorse_valley,schedule_comparison,guided,16,16,16,4096,4096,16777216,1,0.413023000
seahorse_valley,schedule_comparison,guided,16,16,16,4096,4096,16777216,2,0.430998800
seahorse_valley,schedule_comparison,guided,16,16,16,4096,4096,16777216,3,0.593371300
seahorse_valley,schedule_comparison,guided,64,16,16,4096,4096,16777216,1,0.566361900
seahorse_valley,schedule_comparison,guided,64,16,16,4096,4096,16777216,2,0.528761900
seahorse_valley,schedule_comparison,guided,64,16,16,4096,4096,16777216,3,0.455514300
