case,policy,chunk,requested_threads,used_threads,total_iterations,min_thread_iterations,max_thread_iterations,avg_thread_iterations,load_balance_factor
seahorse_valley,static,1,16,16,1247720130,77861122,78119947,77982508.125,1.001762432
seahorse_valley,static,4,16,16,1247720130,77422319,78377107,77982508.125,1.005060095
seahorse_valley,static,16,16,16,1247720130,75730532,80674303,77982508.125,1.034517932
seahorse_valley,static,64,16,16,1247720130,63705764,98063943,77982508.125,1.257512042
seahorse_valley,dynamic,1,16,16,1247720130,71155443,87488887,77982508.125,1.121903990
seahorse_valley,dynamic,4,16,16,1247720130,69638437,93400906,77982508.125,1.197716106
seahorse_valley,dynamic,16,16,16,1247720130,69972009,91175084,77982508.125,1.169173526
seahorse_valley,dynamic,64,16,16,1247720130,55885193,103660333,77982508.125,1.329276725
seahorse_valley,guided,1,16,16,1247720130,65898628,95778118,77982508.125,1.228200020
seahorse_valley,guided,4,16,16,1247720130,60539908,95778118,77982508.125,1.228200020
seahorse_valley,guided,16,16,16,1247720130,57654155,95778118,77982508.125,1.228200020
seahorse_valley,guided,64,16,16,1247720130,56210231,95778118,77982508.125,1.228200020
