case,policy,chunk,threads,repetitions,median_s,mean_s,stdev_s
seahorse_valley,dynamic,1,16,3,0.387466300,0.386504467,0.012981602
seahorse_valley,dynamic,4,16,3,0.380423400,0.391135533,0.032421386
seahorse_valley,dynamic,16,16,3,0.420772200,0.420722933,0.020929043
seahorse_valley,dynamic,64,16,3,0.474474500,0.474176900,0.000983278
seahorse_valley,guided,1,16,3,0.477201800,0.467454533,0.031358336
seahorse_valley,guided,4,16,3,0.431179800,0.427649733,0.027822568
seahorse_valley,guided,16,16,3,0.438747600,0.429127433,0.017591498
seahorse_valley,guided,64,16,3,0.434360400,0.446916233,0.027642827
seahorse_valley,static,1,16,3,0.390873400,0.416579700,0.045604188
seahorse_valley,static,4,16,3,0.374930700,0.376996600,0.013102079
seahorse_valley,static,16,16,3,0.373235800,0.392115733,0.034022431
seahorse_valley,static,64,16,3,0.469283100,0.475642700,0.021359964
standard,dynamic,1,16,3,0.825151600,0.819686367,0.011061310
standard,dynamic,4,16,3,0.821830500,0.823283533,0.011443149
standard,dynamic,16,16,3,0.914407200,0.915858100,0.035593536
standard,dynamic,64,16,3,0.989138700,0.983387867,0.022153530
standard,guided,1,16,3,1.417558200,1.460121667,0.077346481
standard,guided,4,16,3,1.420593500,1.442156667,0.050962629
standard,guided,16,16,3,1.418243600,1.420652967,0.005869177
standard,guided,64,16,3,1.426401500,1.422582267,0.021640311
standard,static,1,16,3,0.948879600,0.931186400,0.037388006
standard,static,4,16,3,1.032977700,1.028427500,0.034472666
standard,static,16,16,3,0.996964500,1.033727000,0.066869392
standard,static,64,16,3,1.032634200,1.056564333,0.062349480
